ID,Urun Adi,Kategori,Mevcut Fiyat (Normal),Boyutlu Fiyatlar (JSON),Yeni Fiyat (Normal)
hazelnut,"Hazelnut","Syrups",25,"",25
cookie,"Cookie","Syrups",25,"",25
mint,"Mint","Syrups",25,"",25
custom-syrup-cookie,"Cookie","Syrups",25,"",25
96,"Normal Süt","Sütler",0,"",0
95,"Laktozsuz Süt","Sütler",30,"",30
97,"Badem Sütü","Sütler",50,"",50
98,"Yulaf Sütü","Sütler",50,"",50
22,"Cappuccino","Sıcak Kahveler",140,"[{""size"":""S"",""price"":140},{""size"":""M"",""price"":150},{""size"":""L"",""price"":160}]",140
14,"Americano","Sıcak Kahveler",90,"",90
15,"Filtre Kahve","Sıcak Kahveler",125,"[{""size"":""S"",""price"":125},{""size"":""M"",""price"":135},{""size"":""L"",""price"":145}]",125
20,"White Mocha","Sıcak Kahveler",180,"[{""size"":""S"",""price"":180},{""size"":""M"",""price"":190},{""size"":""L"",""price"":200}]",180
23,"Chai Tea Latte","Sıcak Kahveler",155,"[{""size"":""S"",""price"":155},{""size"":""M"",""price"":165},{""size"":""L"",""price"":175}]",155
26,"Flat White","Sıcak Kahveler",155,"[{""size"":""S"",""price"":155},{""size"":""M"",""price"":165},{""size"":""L"",""price"":175}]",155
16,"Latte","Sıcak Kahveler",150,"[{""size"":""S"",""price"":140},{""size"":""M"",""price"":150},{""size"":""L"",""price"":160}]",150
27,"Sıcak Çikolata","Sıcak Kahveler",160,"[{""size"":""S"",""price"":160},{""size"":""M"",""price"":180},{""size"":""L"",""price"":200}]",160
19,"Mocha","Sıcak Kahveler",170,"[{""size"":""S"",""price"":170},{""size"":""M"",""price"":180},{""size"":""L"",""price"":190}]",170
21,"Caramel Macchiato","Sıcak Kahveler",160,"[{""size"":""S"",""price"":160},{""size"":""M"",""price"":170},{""size"":""L"",""price"":180}]",160
24,"Toffeenut Latte","Sıcak Kahveler",165,"[{""size"":""S"",""price"":165},{""size"":""M"",""price"":175},{""size"":""L"",""price"":185}]",165
17,"Caramel Latte","Sıcak Kahveler",160,"[{""size"":""S"",""price"":160},{""size"":""M"",""price"":170},{""size"":""L"",""price"":180}]",160
25,"Chocolate Cookie Latte","Sıcak Kahveler",165,"[{""size"":""S"",""price"":165},{""size"":""M"",""price"":175},{""size"":""L"",""price"":185}]",165
18,"Salted Caramel Latte","Sıcak Kahveler",170,"[{""size"":""S"",""price"":170},{""size"":""M"",""price"":180},{""size"":""L"",""price"":190}]",170
cmk056bt00002joib0l0b5pjg,"Çikolata Soslu Kruvasan","Tatlılar",120,"",120
cmk056c600003joibrlregnov,"Peynirli Kruvasan","Tatlılar",100,"",100
cmk056cqf0004joib72b42302,"Fıstıklı Snickers","Tatlılar",150,"",150
cmk056da00005joib8q79cytd,"Orman Meyveli Tart","Tatlılar",140,"",140
cmk056dx20007joib80qx334y,"Bella Vista","Tatlılar",160,"",160
cmk056egu0008joibwx9fp3e9,"Nocca Tatlı","Tatlılar",170,"",170
cmk056di50006joibjwkuyjv3,"San Sebastian","Tatlılar",180,"",180
cmk056aei0000joib9co0rpny,"Sade Kruvasan","Tatlılar",90,"",90
cmk056blo0001joibqvxreljt,"Çikolatalı Kruvasan","Tatlılar",110,"",110
90,"Muz Tozu","Tozlar",40,"",40
91,"Çikolata Tozu","Tozlar",40,"",40
94,"Frappe Tozu","Tozlar",50,"",50
89,"Vanilya Tozu","Tozlar",40,"",40
93,"Sıcak Çikolata Tozu","Tozlar",120,"",120
92,"Salep","Tozlar",120,"[{""size"":""S"",""price"":150},{""size"":""M"",""price"":170},{""size"":""L"",""price"":190}]",120
100,"Kurutulmuş Limon","Yan Ürünler",0,"",0
99,"Lokum","Yan Ürünler",0,"",0
71,"Toffeenut Şurubu","Şuruplar",40,"",40
70,"Vanilya Şurubu","Şuruplar",40,"",40
69,"Fındık Şurubu","Şuruplar",40,"",40
74,"Beyaz Çikolata Şurubu","Şuruplar",40,"",40
75,"Nar Şurubu","Şuruplar",40,"",40
73,"Chai Şurubu","Şuruplar",40,"",40
77,"Muz Şurubu","Şuruplar",40,"",40
78,"Çilek Şurubu","Şuruplar",40,"",40
custom-syrup-hazelnut,"Şurup: Fındık","Şuruplar",0,"[{""size"":""M"",""price"":25}]",0
79,"Mint Şurubu","Şuruplar",40,"",40
68,"Karamel Şurubu","Şuruplar",40,"",40
76,"Menta Şurubu","Şuruplar",40,"",40
72,"Çikolata Şurubu","Şuruplar",40,"",40
